"Cap waktu","Nama Desa","Waktu Penangkapan","Jenis Alat Tangkap","Ikan yang Tertangkap","Waktu Sampling","Jumlah Hasil Tangkapan (Kg)",""
"2025/01/08 10:24:32 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Sepat","Sampling Pertama","200","25"
"2025/01/08 10:26:15 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Betok","Sampling Pertama","160","0"
"2025/01/08 10:26:50 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Lele","Sampling Pertama","60","0"
"2025/01/08 10:27:32 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Putak","Sampling Pertama","2","0"
"2025/01/08 10:28:08 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Sepat","Sampling Kedua","210","0"
"2025/01/08 10:29:10 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Betok","Sampling Kedua","160","0"
"2025/01/08 10:30:41 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Lele","Sampling Kedua","60",""
"2025/01/08 10:31:10 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Putak","Sampling Kedua","2",""
"2025/01/08 10:31:33 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Sepat","Sampling Ketiga","220",""
"2025/01/08 10:32:12 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Betok","Sampling Ketiga","165",""
"2025/01/08 10:32:45 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Lele","Sampling Ketiga","70",""
"2025/01/08 10:33:08 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Putak","Sampling Ketiga","2",""
"2025/01/08 10:36:23 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sepat","Sampling Pertama","120",""
"2025/01/08 10:37:07 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sepat","Sampling Kedua","130",""
"2025/01/08 10:37:58 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sepat","Sampling Ketiga","135",""
"2025/01/08 10:38:38 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sapil","Sampling Pertama","90",""
"2025/01/08 10:39:07 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sapil","Sampling Kedua","90",""
"2025/01/08 10:39:46 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sapil","Sampling Ketiga","95",""
"2025/01/08 10:40:28 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Belut","Belut","Sampling Pertama","150",""
"2025/01/08 10:40:58 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Belut","Belut","Sampling Kedua","160",""
"2025/01/08 10:41:27 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Belut","Belut","Sampling Ketiga","170",""
"2025/01/08 10:42:09 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Betok","Sampling Pertama","70",""
"2025/01/08 10:42:44 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Betok","Sampling Kedua","70",""
